Country Name,Year,Value
Israel,1960,163.0
Israel,1961,87.0
Israel,1962,271.0
Israel,1963,407.0
Israel,1964,417.0
Israel,1965,437.0
Israel,1966,319.0
Israel,1967,283.0
Israel,1968,978.0
Israel,1969,1381.0
Israel,1970,1122.0
Israel,1971,1341.0
Israel,1972,891.0
Israel,1973,1959.0
Israel,1974,1174.0
Israel,1975,1624.0
Israel,1976,1939.0
Israel,1977,1261.0
Israel,1978,1326.0
Israel,1979,698.0
Israel,1980,1260.0
Israel,1981,1654.0
Israel,1982,866.0
Israel,1983,487.0
Israel,1984,286.0
Israel,1985,309.0
Israel,1986,1185.0
Israel,1987,1080.0
Israel,1988,582.0
Israel,1989,24.0
Israel,1990,81.0
Israel,1991,1210.0
Israel,1992,1335.0
Israel,1993,716.0
Israel,1994,761.0
Israel,1995,366.0
Israel,1996,108.0
Israel,1997,59.0
Israel,1998,1289.0
Israel,1999,1191.0
Israel,2000,354.0
Israel,2001,116.0
Israel,2002,337.0
Israel,2003,179.0
Israel,2004,846.0
Israel,2005,1135.0
Israel,2006,1125.0
Israel,2007,835.0
Israel,2008,679.0
Israel,2009,156.0
Israel,2010,71.0
Israel,2011,86.0
Israel,2012,127.0
Israel,2013,216.0
Israel,2014,549.0
Israel,2015,688.0
Israel,2016,622.0
Israel,2017,535.0
Israel,2018,494.0
Israel,2019,519.0
Israel,2020,367.0
Israel,2021,476.0
Israel,2022,829.0
